,URL,category
0,https://www.ebay.com/itm/Lenovo-Legion-Y540-15-Laptop-i5-9300H-12GB-512GB-SSD-2060-RTX-Notebook-Warranty/303877173054?hash=item46c07daf3e:g:E1MAAOSwI2hgIErN,Electronics > Computers
1,https://www.amazon.com/Google-Pixel-4a-Unlocked-Smartphone/dp/B08CFSZLQ4/ref=sr_1_3?dchild=1&keywords=Google+Pixel+4a&qid=1612960024&sr=8-3,Electronics > Communications
2,https://www.amazon.com/Diamond-Machine-Millgrain-Stackable-Wedding/dp/B00E4WB7X4/ref=sr_1_3?dchild=1&keywords=14K+White+Gold+Wedding+Bands+Diamond+of+0.30+Carat+Total+Diamond+Weight&qid=1613219015&sr=8-3,Apparel & Accessories > Jewelry
3,https://www.amazon.com/Bluetooth-Transmitter-Vproof-Wireless-Adapter/dp/B07LC6VRD6/ref=sr_1_2?dchild=1&keywords=ovon+Bluetooth+FM+Transmitter%2C+Bluetooth+MP3+Player+Wireless+Radio+Adapter+FM+Transmitter+Kit+Car+Charger+with+Dual+USB+Ports%2C+Hands-Free+Call%2C+Support+SD+Card+and+USB+Flash+Drive+%28Black%29&qid=1613219124&sr=8-2,Vehicles & Parts > Vehicle Parts & Accessories
4,https://www.amazon.com/Kaspersky-Internet-Security-Device-Download/dp/B076D1YSD1/ref=sr_1_1?dchild=1&keywords=Kaspersky+Total+Security+2021&qid=1613219193&sr=8-1,Software > Computer Software
5,https://www.ebay.com/itm/LACOSTE-SPORT-FIT-POLO-Corsica-Aqua-L1230-51-FWN-MSRP-79-50/333864197953?hash=item4dbbdb5f41:g:uGkAAOSwKN5gCLVF,Apparel & Accessories > Clothing
6,https://kavehome.com/en/en/p/freda-chair-beige-and-natural,Furniture > Chairs
7,https://www.ebay.com/itm/Harry-Potter-and-the-Philosophers-Stone-Illustrated-Edition-by-J-K-Rowling-E/382879520706?epid=4022466217&_trkparms=ispr%3D1&hash=item592565d7c2:g:rNEAAOSwYoxgJvDE&amdata=enc%3AAQAFAAACkBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkxFtV7J5P58ubuVigtBH%252Fe7oYiwE93T7q%252Bi%252FWjrTFWcU9qqgpn1i5DFHmUILSIXle2MH6jHxLEMK0IYpwnLbSkVCt2Ql9HdNGhAvxCultCeleO%252BNoKGl5TqBLABT4LtWIfC0hQf0xnDceWjt%252BCUsQaFBwbHVhkaIyIFmufer0WtPBtJ0%252FpDydHT4Ac6zxbIe8WfATWmD3aQYMnjYgTXr9O1cCFe6g%252Bq2Rd8%252BwzklDFLdGdxHYR1BjlHkLLksz6e9zv90FqIcOL4t%252B0F1F%252FAkL248eLKyyeL5AMvYaSCzBfFWByrxP3np%252BYyN%252FMBN2jdzXM%252BTR18zz9Wi2Xjz9YMbM69J8ziWdF9r5kbtHhBKSlJTBjWxbqErQcBMQC9ZYrFWuhwtQFehzIPK3EKyiyQ8X6YNukFEGSbUEx8Buj8w3NWRhFCy7vVNFVPPcXGZ9fiu9XMPVpkdM3PcyUkRCIKsZ2JD1MPIxHAo8EvuL7OeVO0IJk7HZlcsAcd2BegZCUeWdBWG7qzuQBYHbNUqJFD8LVfoomXLSqGqfhtQEQWcvM%252Bf1pBB%252BTsEAs3tkwykbo5DRRfUUrI5CSvMJDUzJYlp%252FAYEHfgZWoIk%252B6Z5EQYICsZtfWE4RncUQYCrRbUxwFRgO1mLJBd%252FPJ9bDs18zsgTIZonUOlXadMC%252F5keRp4WwWoWH0awIyXlzngvfs0OMzyrz68n6dKS51IPNMeLJsJ8jCVsoGpmr1J3tgOHmR1v0otsVKEp9tW%252F1%252Bir87STVG9XWougWOdm0UGcbIWI0L%252F%252BWvHkH7LHd5oLLw5zLKmXpHt%252B7cpscQ1Pg2fYLcoRXpbz%252F%7Ccksum%3A382879520706cc9753f203b941bbae757552a0004980%7Campid%3APL_CLK%7Cclp%3A2334524,Media > Books
8,https://www.patchplants.com/gb/en/plants/kentia-palm-17/,Home & Garden > Plants
9,https://www.eastpak.com/uk-en/transmitter-s-black-pEK942008+00+999.html,Luggage & Bags > Suitcases
10,https://www.amazon.com/GoPro-HERO7-Silver-Commerce-Stabilization/dp/B083C5Q8VJ/ref=sr_1_5?dchild=1&keywords=sport+GoPro+Hero+7+Silver&qid=1613222320&sr=8-5,Cameras & Optics > Cameras
11,https://www.foxnews.com/tech/5-ways-to-a-strong-password-and-better-personal-cybersecurity,Electronics > Computers
12,https://www.amazon.com/Acer-Display-Graphics-Keyboard-A515-43-R19L/dp/B07RF1XD36,Electronics > Computers
13,https://www.bestbuy.com/site/hp-23-8-touch-screen-all-in-one-amd-ryzen-5-series-12gb-memory-256gb-ssd-natural-silver/6402516.p?skuId=6402516,Electronics > Computers
14,https://www.foxnews.com/tech/is-the-ipad-a-miracle-device-for-autism,Electronics > Communications
15,https://www.ebay.com/itm/Xiaomi-Redmi-Note-8-4GB-64GB-GSM-Factory-Unlocked-Global-Version-USA-SELLER/265006757058,Electronics > Communications
16,https://www.radio-solutions.co.uk/motorola-walkie-talkie-h20-t92-quad-pack.html,Electronics > Communications
17,https://www.foxnews.com/real-estate/ways-to-revive-tarnished-sterling-silver,Apparel & Accessories > Jewelry
18,https://www.amazon.com/Nine-West-Silver-Tone-Strand-Necklace/dp/B01BINRRF8,Apparel & Accessories > Jewelry
19,https://www.zales.com/marilyn-monroe-collection-1-ct-tw-diamond-art-deco-ring-10k-white-gold/p/V-20315380,Apparel & Accessories > Jewelry
20,https://edition.cnn.com/2021/02/14/business/gm-chevrolet-bolt/index.html,Vehicles & Parts > Vehicle Parts & Accessories
21,https://www.amazon.com/Charger-Ainope-Aluminum-Charging-Compatible/dp/B0795DJXNH,Vehicles & Parts > Vehicle Parts & Accessories
